Bangladesh medical journal,Bangladesh Med J
"Food, drug, cosmetic law journal",Food Drug Cosmet Law J
Child \& youth care forum,Child Youth Care Forum
Archivos de bronconeumologia,Arch Bronconeumol
Parasitology research,Parasitol Res
"Comptes rendus des seances de l'Academie des sciences. Serie III, Sciences de la vie",C R Seances Acad Sci III
New York University journal of legislation and public policy,N Y Univ J Legis Public Policy
Ciba clinical symposia,Ciba Clin Symp
Rivista di malariologia,Riv Malariol
"Advances in gerontology = Uspekhi gerontologii / Rossiiskaia akademiia nauk, Gerontologicheskoe obshchestvo",Adv Gerontol
Journal of abnormal child psychology,J Abnorm Child Psychol
The University of Queensland law journal,Univ Qld Law J
The Eastern anthropologist,East Anthropol
Revue de medecine et d'hygiene d'Outre-Mer,Rev Med Hyg Outre Mer
HERD,HERD
Population reports. Series I: Periodic abstinence,Popul Rep I
Indiana medical history quarterly / Indiana Historical Society,Indiana Med Hist Q
Journal of probability and statistics,J Probab Stat
Journal of histotechnology,J Histotechnol
United States naval medical bulletin,U S Nav Med Bull
New York,New York
Prevention and control : the official journal of the World Heart Federation,Prev Control
"Chiba Kenritsu Chuo Hakubutsukan shizenshi kenkyu hokoku = Journal of the Natural History Museum and Institute, Chiba",J Nat Hist Mus Inst Chiba
Revista alimentar,Rev Aliment
Trends in cardiovascular medicine,Trends Cardiovasc Med
Aslib proceedings,Aslib Proc
Monthly notices of the Royal Astronomical Society,Mon Not R Astron Soc
Yojana,Yojana
"Sexualidad, salud y sociedad : revista Latinoamericana",Sex Salud Soc (Rio J)
Journal of personality,J Pers
Molecular informatics,Mol Inform
American journal of clinical dermatology,Am J Clin Dermatol
Contemporary ob/gyn,Contemp Ob Gyn
Molecular cancer,Mol Cancer
Georgetown dental journal,Georgetown Dent J
"Pneumologie (Stuttgart, Germany)",Pneumologie
Journal of vascular and interventional neurology,J Vasc Interv Neurol
Environmental chemistry letters,Environ Chem Lett
Journal of drug metabolism \& toxicology,J Drug Metab Toxicol
M \& B pharmaceutical bulletin,M B Pharm Bull
Saint-Luc medical. Sint-Lucas tijdschrift,St Luc Med
Seishin Igaku Kenkyujo gyosekishu = Bulletin of the Seishin-Igaku Institute,Seishin Igaku Kenkyusho Gyosekishu
Eksperimental'naia khirurgiia i anesteziologiia,Eksp Khir Anesteziol
The Journal of psychiatry \& law,J Psychiatry Law
Expedition,Expedition
Issues \& studies,Issues Stud
Entomological news,Entomol News
Update (Loma Linda University. Ethics Center),Update
Transactions of the American Clinical and Climatological Association,Trans Am Clin Climatol Assoc
Radiology,Radiology
"Sun (Baltimore, Md. : 1837)",Sun
Population reports. Series M. Special topics,Popul Rep M
Carbohydrate chemistry,Carbohydr Chem
EXS,EXS
Parasitology today (Personal ed.),Parasitol Today
"Vostok (Moscow, Russia : 1991)",Vostok (Mosk)
"Applied catalysis. B, Environmental",Appl Catal B
"Social science \& medicine. Part D, Medical geography",Soc Sci Med D
Ergonomics in design : the magazine of human factors applications,Ergon Des
Proceedings of the ... IEEE/RAS-EMBS International Conference on Biomedical Robotics and Biomechatronics. IEEE/RAS-EMBS International Conference on Biomedical Robotics and Biomechatronics,Proc IEEE RAS EMBS Int Conf Biomed Robot Biomechatron
Humane health care international,Hum Health Care Int
Revue medicale de Liege,Rev Med Liege
"Medical services journal, Canada",Med Serv J Can
Seminars in urologic oncology,Semin Urol Oncol
Laterality,Laterality
Swiss dent,Swiss Dent
Kokyu to junkan. Respiration \& circulation,Kokyu To Junkan
Farmaco (Societa chimica italiana : 1989),Farmaco
Mid-America; an historical review,Mid Am
Advances in preventive medicine,Adv Prev Med
Boletin odontologico,Bol Odontol (B Aires)
Afghanistan,Afghanistan
The Southern journal of educational research,South J Educ Res
Epigraphische Studien,Epigraph Stud
"Kyoto Daigaku kokukagaku kiyo. Bulletin of stomatology, Kyoto University",Kyoto Daigaku Kokukagaku Kiyo
Medical ultrasonography,Med Ultrason
Bulletin de la Societe de chimie biologique,Bull Soc Chim Biol (Paris)
Healthcare leadership report,Healthc Leadersh Rep
Freiburger Forschungen zur Medizingeschichte,Freib Forsch Medizingesch
Australian journal of agricultural research,Aust J Agric Res
"Animal biology (Leiden, Netherlands)",Anim Biol Leiden Neth
Forum,Forum Fam Plan West Hemisph
The Biological bulletin,Biol Bull
Psychological science,Psychol Sci
Epopteia,Epopteia
"Higijena; casopis za higijenu, mikrobiologiju, epidemiologiju i sanitarnu tehniku",Hig Cas Hig Mikrobiol Epidemiol Sanit Teh
The Zambia nurse,Zambia Nurse
Journal of agricultural safety and health,J Agric Saf Health
AMRL-TR. Aerospace Medical Research Laboratories (6570th),AMRL TR
Transport theory and statistical physics,Transp Theory Stat Phys
Dine Yisrael : shanaton le-mishpat 'Ivri ule-mishpahah be-Yisra'el,Dyny Ysrl
Micro total analysis systems : proceedings of the ... [Mu] TAS International Conference on Miniaturized Chemical and Biochemical Analysis Systems. [Mu] TAS (Conference),Micro Total Anal Syst
Annuaire des pays de l'ocean indien,Annu Pays Ocean Indien
"Estadistica panamena. Situacion demografica, seccion 231: Migracion internacional. Panama. Direccion de Estadistica y Censo",Estad Panamena Situac Demogr Secc 231 Migr Migr Int
National Family Health Survey bulletin,Natl Fam Health Surv Bull
Histoire des sciences medicales,Hist Sci Med
Revista de la Sociedad Odontologica de La Plata,Rev Soc Odontol La Plata
Biologia medica,Biol Med (Niteroi Braz)
The Chesopiean,Chesopiean
The Female patient,Female Patient
International journal for the study of animal problems,Int J Study Anim Probl
Journal of chemical neuroanatomy,J Chem Neuroanat
Nihon Heikatsukin Gakkai zasshi,Nihon Heikatsukin Gakkai Zasshi
Essential drugs monitor,Essent Drugs Monit
Archivio di chirurgia toracica e cardiovascolare,Arch Chir Torac Cardiovasc
Revue d'histoire de la deuxieme guerre mondiale,Rev Hist Deuxieme Guerre Mond
Surface science,Surf Sci
Revista Del Ateneo De La Catedra De Tecnica De Operatoria Dental,Rev Ateneo Catedra Tec Oper Dent
Adventist heritage,Advent Herit
International journal of evolutionary biology,Int J Evol Biol
Empleo y desempleo,Empl Desempl
Dolentium Hominum,Dolentium Hominum
Journal of clinical and experimental hepatology,J Clin Exp Hepatol
Laboratory animal research,Lab Anim Res
World journal of gastrointestinal oncology,World J Gastrointest Oncol
Postal history journal,Post Hist
Revue roumaine de neurologie,Rev Roum Neurol
American heart journal,Am Heart J
Nature physics,Nat Phys
"Therapeutikon (Karlsruhe, Germany)",Therapeutikon
Infection control \& urological care,Infect Control Urol Care
Cancer biomarkers : section A of Disease markers,Cancer Biomark
Eksperimental'naia i klinicheskaia farmakologiia,Eksp Klin Farmakol
Antioquia medica,Antioquia Med
Physical review letters,Phys Rev Lett
"Giornale di batteriologia, virologia ed immunologia ed annali dell'Ospedale Maria Vittoria di Torino. Parte 2: Sezione clinica",G Batteriol Virol Immunol Clin
AJR. American journal of roentgenology,AJR Am J Roentgenol
"Pflege aktuell / DBfK, Deutscher Berufsverband fur Pflegeberufe",Pflege Aktuell
Indian journal of clinical biochemistry : IJCB,Indian J Clin Biochem
Brain cell biology,Brain Cell Biol
Astronomy \& astrophysics. Supplement series,Astron Astrophys Suppl Ser
The Freeman,Freeman
New York University journal of dentistry,N Y Univ J Dent
Shi yan sheng wu xue bao,Shi Yan Sheng Wu Xue Bao
Journal of population,J Popul
Cahiers du monde russe et sovietique,Cah Monde Russe Sov
Clinical medicine. Therapeutics,Clin Med Ther
Conference proceedings. Ethnographic Praxis in Industry Conference,Conf Proc Ethnogr Prax Ind Conf
Revista de medicina de la Universidad de Navarra,Rev Med Univ Navarra
"EM (Pittsburgh, Pa.)",EM (Pittsburgh Pa)
Archivos de la Sociedad Oftalmologica Hispano-Americana,Archivos Soc Oftalmol Hisp Am
Les Cahiers haut-marnais,Cah Haut Marnais
Reproductive freedom news / from the Center for Reproductive Law \& Policy,Reprod Freedom News
Internationales Asienforum,Int Asianforum
Terapia,Terapia (Quito)
The open microbiology journal,Open Microbiol J
Journal of Raman spectroscopy : JRS,J Raman Spectrosc
Viewpoints on digestive diseases,Viewp Dig Dis
Swasth hind,Swasth Hind
Journal of clinical research \& bioethics,J Clin Res Bioeth
"Nervnaia sistema / Leningradskii ordena Lenina gosudarstvennyi universitet imeni A.A. Zhdanova, Fiziologicheskii institut imeni akad. A.A. Ukhtomskogo",Nerv Sist
News in physiological sciences : an international journal of physiology produced jointly by the International Union of Physiological Sciences and the American Physiological Society,News Physiol Sci
Indian journal of biochemistry \& biophysics,Indian J Biochem Biophys
Nowotwory,Nowotwory
Physiotherapy,Physiotherapy
West's California reporter,Wests Calif Report
Acta chirurgica Scandinavica,Acta Chir Scand
Anthropology of work review : AWR,Anthropol Work Rev
Journal of herbal pharmacotherapy,J Herb Pharmacother
Stem cells and development,Stem Cells Dev
Behavior analysis in practice,Behav Anal Pract
Journal of the Mississippi Academy of Sciences. Mississippi Academy of Sciences,J Miss Acad Sci
Institutions/volume feeding,Inst Vol Feed
Annales paediatrici. International review of pediatrics,Ann Paediatr
Annals of the New York Academy of Sciences,Ann N Y Acad Sci
Agressologie: revue internationale de physio-biologie et de pharmacologie appliquees aux effets de l'agression,Agressologie
"Bioethics bulletin (Washington, D.C.)",Bioeth Bull
GeoInformatica,Geoinformatica
"Journal of library history (Tallahassee, Fla. : 1974)",J Libr Hist
The social history of alcohol and drugs,Soc Hist Alcohol Drugs
Molecular plant,Mol Plant
World journal of microbiology \& biotechnology,World J Microbiol Biotechnol
Recent patents on drug delivery \& formulation,Recent Pat Drug Deliv Formul
The Canadian journal of regional science,Can J Reg Sci
Prace z dejin prirodnich ved,Pr Dejin Prir Ved
Journal of anthropological research,J Anthropol Res
Sanfujinka no jissai. Practice of gynecology and obstetrics,Sanfujinka No Jissai
Medicina y desarrollo,Med Desarrollo
The Science reports of the Tohoku University. Seventh series: (Geography) Tohoku Daigaku,Sci Rep Tohoku Univ Ser 7
Revue de chirurgie,Rev Chir
ESA journal,ESA J
Bulletin de la sante publique. Belgium. Ministere de la sante publique et de la famille,Bull Sante publique (Brux )
Bulletin international de l'Academie polonaise des sciences et des lettres. Classe de medecine,Bull Int Acad Pol Sci Let Cl Med
The Reader's digest,Read Dig
Journal of oral medicine,J Oral Med
Proceedings. California Academy of Sciences,Proc Calif Acad Sci
World journal of emergency surgery : WJES,World J Emerg Surg
Amino acids,Amino Acids
West's south western reporter,Wests South West Report
International journal of psychology : Journal international de psychologie,Int J Psychol
ED management : the monthly update on emergency department management,ED Manag
Journal of hematology \& oncology,J Hematol Oncol
The Sanitarian,Sanitarian
Hospital administration currents,Hosp Admin Curr
Brain connectivity,Brain Connect
Current topics in cellular regulation,Curr Top Cell Regul
Revue de stomatologie,Revue Stomatol
Current opinion in structural biology,Curr Opin Struct Biol
Kwartalnik historyczny,Kwart Hist
Bulletin of the Passaic County Dental Society,Bull Passaic Cty Dent Soc
Revista espanola de antropologia americana / Departamento de Antropologia y Etnologia de America,Rev Esp Antropol Am
Dia medico uruguayo,Dia Med Urug
Journal of the International Association of Dentistry for Children,J Int Assoc Dent Child
Montana law review,Mont Law Rev
Atompraxis,Atompraxis
Zhong xi yi jie he xue bao = Journal of Chinese integrative medicine,Zhong Xi Yi Jie He Xue Bao
Il Nuovo cimento della Societa italiana di fisica. C,Nuovo Cimento C
MGH news / Montreal General Hospital,MGH News
Pacific affairs,Pac Aff
Acta tropica,Acta Trop
International surgery,Int Surg
Topics in economic analysis \& policy,Top Econ Anal Policy
Human genetics. Supplement,Hum Genet Suppl
Revista de gastroenterologia del Peru : organo oficial de la Sociedad de Gastroenterologia del Peru,Rev Gastroenterol Peru
Gaceta medica del Norte,Gac Med Norte
Zeitschrift fur historische Forschung,Z Hist Forsch
Kentucky nurse,Ky Nurse
Hospital food \& nutrition focus,Hosp Food Nutr Focus
The Journal of development communication,J Dev Comm
Obradoiro de historia moderna / Universidade de Santiago de Compostela,Obradoiro Hist Mod
Revista de la Sociedad Peruana de Endocrinologia,Rev Soc Peru Endocrinol
Maghreb medical = al-Majallah al-tibbiyah lil-Maghrib al-'Arabi,Maghreb Med
Divulgacion dental ...,Divulg Dent
U M C,U M C Cordoba
Canadian-American Slavic studies. ,Can Am Slav Stud
Journal of non-crystalline solids,J Non Cryst Solids
Primary care update for Ob/Gyns,Prim Care Update Ob Gyns
NWSA journal : a publication of the National Women's Studies Association,NWSA J
"Yan ke xue bao = Eye science / ""Yan ke xue bao"" bian ji bu",Yan Ke Xue Bao
Medicinal research reviews,Med Res Rev
Population communication: technical documentation,Popul Commun Tech Doc
Environmental entomology,Environ Entomol
Annales de l'Institut Pasteur de Lille,Ann Inst Pasteur Lille
Probleme de tuberculoza,Probl Tuberculoza
The journal of family health care,J Fam Health Care
Ernahrungsforschung. Berichte und Mitteilungen,Ernahrungsforsch Ber Mitt
Sociologische gids,Sociol Gids
The Gem State RN news letter,Gem State RN News Lett
American clinical laboratory,Am Clin Lab
Electrophoresis,Electrophoresis
Atoll research bulletin,Atoll Res Bull
Bullettino delle scienze mediche,Bull Sci Med (Bologna)
Proceedings / IEEE Computer Society Bioinformatics Conference. IEEE Computer Society Bioinformatics Conference,Proc IEEE Comput Soc Bioinform Conf
Encounter,Encounter
Butlleti de la Societat d'Amics de la Historia i de la Ciencia Farmaceutica Catalana : BSAHCFC,Butll Soc Amics Hist Cienc Farm Catalana
Current drug discovery technologies,Curr Drug Discov Technol
American journal of nuclear medicine and molecular imaging,Am J Nucl Med Mol Imaging
Seminars in breast disease,Semin Breast Dis
Jahrbuch des Oberosterreichischen Musealvereines. Oberosterreichischer Musealverein,Jahrb Oberoesterr Musealver
The IDRC reports / International Development Research Centre = Le CRDI informe / Centre de recherches pour le developpement international,IDRC Rep
Medicina infantil,Med Infant
Journal of radiation research,J Radiat Res (Tokyo)
Sangyo eiseigaku zasshi = Journal of occupational health,Sangyo Eiseigaku Zasshi
Annual report. Louisiana. Dept. of Public Welfare,Annu Rep La Dep Public Welf
"Revista de historia naval / Instituto de Historia y Cultura Naval, Armada Espanola",Rev Hist Naval
Dialectics and humanism,Dialect Hum
Alternative medicine review : a journal of clinical therapeutic,Altern Med Rev
Journal of advanced medical-surgical nursing,J Adv Med Surg Nurs
Health Law Project library bulletin,Health Law Proj Libr Bull
Michigan journal of gender \& law,Mich J Gend Law
Journal of behavior therapy and experimental psychiatry,J Behav Ther Exp Psychiatry
"Biosecurity and bioterrorism : biodefense strategy, practice, and science",Biosecur Bioterror
"Annals of allergy, asthma \& immunology : official publication of the American College of Allergy, Asthma, \& Immunology",Ann Allergy Asthma Immunol
Medical aspects of human sexuality,Med Aspects Hum Sex
The Southwestern historical quarterly,Southwest Hist Q
"Mesoamerica (Antigua, Guatemala)",Mesoamerica (Antigua Guatem)
Frontiers in neuroinformatics,Front Neuroinform
Masui. The Japanese journal of anesthesiology,Masui
Technical bulletin. United States. Veterans Administration,Tech Bull United States Veterans Admin
Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,J Neuroophthalmol
Harvard journal on legislation,Harvard J Legis
Schweizerische Zeitschrift fur Tuberkulose. Revue suisse de la tuberculose. Rivista svizzera della tubercolosi,Schweiz Z Tuberk
Biulleten'. Russian S.F.S.R. Ministerstvo Zdravookhraneniia. Uchenyi meditsinskii sovet,Biulleten Russ SFSR Minist Zdravookhraneniia Uchenyi Meditsinskii sov
Journal of adolescent research,J Adolesc Res
Jahrbucher fur Nationalokonomie und Statistik,Jahrb Natl Okon Stat
The Michigan nurse,Mich Nurse
Radiation research,Radiat Res
Clinics in perinatology,Clin Perinatol
Proceedings of the Health Policy Forum. Health Policy Forum,Proc Health Policy Forum
Journal of environmental science and health. Part C: Environmental health sciences,J Environ Sci Health C
Quaderni per la storia dell'Universita di Padova,Quad Stor Univ Padova
Academy of Management journal. Academy of Management,Acad Manage J
Consulting-specifying engineer,Consult Specif Eng
Revue canadienne de biologie / editee par l'Universite de Montreal,Rev Can Biol
"Europaische Hochschulschriften. Reihe VII, Medizin. Abt. B, Geschichte der Medizin = Publications universitaires europeennes. Serie VII, Medicine. Div. B, Histoire de la medecine = European university papers. Series VII, Health sciences...",Eur Hochschulschr VII Med B Gesch Med
Journal of radiotherapy in practice,J Radiother Pract
Annals of the Royal College of Surgeons of England,Ann R Coll Surg Engl
Texas bar journal,Texas Bar J
The Journal of consumer affairs,J Consum Aff
Ontario medical review,Ont Med Rev
Drugs,Drugs
Medical oncology and tumor pharmacotherapy,Med Oncol Tumor Pharmacother
Journal (Canadian Dental Association),J Can Dent Assoc
"E (Norwalk, Conn.)",E
NIH consensus and state-of-the-science statements,NIH Consens State Sci Statements
Estudios de poblacion,Estud Poblac
European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,Eur J Pharm Sci
"The Recorder of the Columbia Medical Society of Richland County, S. C",Rec Columbia Med Soc Richland Cty SC
Journal of business ethics : JBE,J Bus Ethics
"China report (New Delhi, India)",China Rep
Journal of medical Internet research,J Med Internet Res
Bulletin of the Newark Dental Club,Bull Newark Dent Club
Journal of orofacial orthopedics = Fortschritte der Kieferorthopadie : Organ/official journal Deutsche Gesellschaft fur Kieferorthopadie,J Orofac Orthop
Better health,Better Health (Lond)
South Carolina dental journal,S C Dent J
History of childhood quarterly,Hist Child Q
The open magnetic resonance reviews,Open Magn Reson Rev
"Le infezioni in medicina : rivista periodica di eziologia, epidemiologia, diagnostica, clinica e terapia delle patologie infettive",Infez Med
Journal of health care technology,J Health Care Technol
Li shi dang an,Li Shi Dang An
Sociologia Neerlandica,Sociol Neerl
Journal of the Entomological Society of Southern Africa,J Entomol Soc South Afr
Cahiers geologiques,Cah Geol
Zeitschrift des Historischen Vereins fur Schwaben. Historischer Verein fur Schwaben,Z Hist Ver Schwaben Neuburg
"Resena historica (Mexico City, Mexico)",Resena Hist
Harvard international review,Harvard Int Rev
Detroit medical news,Detroit Med News
Problemy gematologii i perelivaniia krovi,Probl Gematol Pereliv Krovi
Capitation rates \& data,Capitation Rates Data
Eurohealth,Eurohealth (Lond)
Vaccine,Vaccine
The Library,Library (Lond)
Journal of surgical oncology,J Surg Oncol
Biomedica biochimica acta,Biomed Biochim Acta
International regional science review,Int Reg Sci Rev
"Symposium Of The Pharmacology, Therapeutics And Toxicology Group, International Association For Dental Research",Symp Pharmacol Ther Toxicol Group
Rhode Island medicine,R I Med
Deutsche medizinische Rundschau; Monatsschrift mit arztlicher Akademie,Dtsch Med Rundsch
Medizinische Technik,Med Tech (Stuttg)
The Agricultural history review,Agric Hist Rev
African journal of midwifery and women's health,Afr J Midwifery Womens Health
Continuum (Society for Social Work Leadership in Health Care),Continuum Soc Soc Work Leadersh Health Care
Globe. International College of Dentists,Globe
Di li xue bao / Chung-kuo ti li hsueh hui pien chi,Acta Geogr Sin
FEMS microbiology immunology,FEMS Microbiol Immunol
"Gallup report (Princeton, N.J. : 1981)",Gallup Rep
Boletin medico,Bol Med
Assessment for effective intervention : official journal of the Council for Educational Diagnostic Services,Assess Eff Interv
[Kangogaku zasshi] The Japanese journal of nursing,Kangogaku Zasshi
Acta chemica Scandinavica,Acta Chem Scand
Israel oriental studies,Isr Orient Stud
Journal of UOEH,J UOEH
Istoricheskii arkhiv (Gosudarstvennaia arkhivnaia sluzhba Rossiiskoi Federatsii),Istor Arh (Mosk 1992)
Social science \& medicine. Medical economics,Soc Sci Med Med Econ
Taehan Uihak Hyophoe chi. The Journal of the Korean Medical Association,Taehan Uihak Hyophoe Chi
Diario de Yucatan,D Yucatan
International journal of immunological studies,Int J Immunol Stud
Der Internist,Internist (Berl)
"Behavior research methods, instruments, \& computers : a journal of the Psychonomic Society, Inc",Behav Res Methods Instrum Comput
International journal of pure and applied mathematics : IJPAM,Int J Pure Appl Math
International journal of health geographics,Int J Health Geogr
Journal of aerosol medicine : the official journal of the International Society for Aerosols in Medicine,J Aerosol Med
Journal of American studies,J Am Stud
Australian bulletin of labour,Aust Bull Labour
Mycologia,Mycologia
The Indian dental journal,Indian Dent J
Movement disorders : official journal of the Movement Disorder Society,Mov Disord
International journal of evidence-based healthcare,Int J Evid Based Healthc
The Journal-lancet,J Lancet
SAAD digest,SAAD Dig
Foro internacional,Foro Int
Journal of college student psychotherapy,J College Stud Psychother
Journal of the South African Veterinary Medical Association,J S Afr Vet Med Assoc
Journal of materials science. Materials in medicine,J Mater Sci Mater Med
Anthropotes / Istituto Giovanni Paolo II per studi su matrimonio e famiglia,Anthropotes
National civic review,Natl Civ Rev
Acta neurochirurgica,Acta Neurochir (Wien)
Calcium binding proteins,Calcium Bind Proteins
"Journal of dental practice administration : JDPA : official publication of American Academy of Dental Practice Administration, Organization of Teachers of Dental Practice Administration, American Academy of Dental Group Practice",J Dent Pract Adm
Archives de biologie,Arch Biol (Liege)
Gazette des hopitaux civils et militaires de l'Empire ottoman,Gaz Hop Civ Mil Empire Ottoman
"Boletim do C.B.R. / Ministerio da Educacao e Cultura, Universidade Federal de Juiz de Fora, Centro de Biologia da Reproducao",Bol Cent Biol Reprod
Physiotherapy research international : the journal for researchers and clinicians in physical therapy,Physiother Res Int
"Publicaciones del Instituto Antituberculoso ""Francisco Moragas"" de la Caja de Pensiones para la Vejez y de Ahorros",Publ Inst Antitubers Francisco Moragas
Sociological review mongraph,Sociol Rev Monogr
Journal of the Australian Population Association,J Aust Popul Assoc
Infusionstherapie und Transfusionsmedizin,Infusionsther Transfusionsmed
Pakistan journal of pharmaceutical sciences,Pak J Pharm Sci
21st century science \& technology,21st Century Sci Technol
Conciencia latinoamericana : boletin periodico de opiniones de Catolicas por el Derecho a Decidir,Concienc Latinoam
The Virginia magazine of history and biography,Va Mag Hist Biogr
Neurotoxicity research,Neurotox Res
Social work with groups,Soc Work Groups
"Margins (Baltimore, Md.)",Margins (Baltim)
The Rostrum,Rostrum
Cadernos da Casa de Oswaldo Cruz,Cad Casa Oswaldo Cruz
Anesthesiology review,Anesthesiol Rev
Journal mediterranee medical,J Mediterr Med
Cell,Cell
Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,Food Chem Toxicol
Natur und Museum,Nat Mus
International journal of laboratory hematology,Int J Lab Hematol
Archiwum medycyny sadowej i kryminologii,Arch Med Sadowej Kryminol
Lebens-Kunst; Cademario-Nachrichten,Lebens Kunst Cademario Nachr
Farmatsiia,Farmatsiia (Mosk)
The Hearing journal,Hear J
Journal of adolescence,J Adolesc
Journal of cellular biochemistry,J Cell Biochem
Kunst \& Therapie,Kunst Ther
Korot,Korot
UN chronicle,UN Chron
Malaysian dental journal,Malays Dent J
European archives of psychiatry and neurological sciences,Eur Arch Psychiatry Neurol Sci
"Folia haematologica (Leipzig, Germany : 1928)",Folia Haematol Int Mag Klin Morphol Blutforsch
"Anales. Academia de Ciencias Medicas, Fisicas y Naturales de la Habana",An Acad Cienc Medicas Fisicas Nat Habana
Psychiatric research reports,Psychiatr Res Rep Am Psychiatr Assoc
Ethics committee newsletter,Ethics Comm Newsl
Ratio juris,Ratio Juris
Frontiers of health services management,Front Health Serv Manage
BMC international health and human rights,BMC Int Health Hum Rights
"Comparative immunology, microbiology and infectious diseases",Comp Immunol Microbiol Infect Dis
Washington State journal of nursing,Wash State J Nurs
Archivos de neurocirugia,Arch Neurocir
Das Medizinische Laboratorium,Med Lab (Stuttg)
Critica storica,Crit Stor
Harofe haivri. The Hebrew medical journal,Harofe Haivri Heb Med J
Sydsvenska medicinhistoriska sallskapets arsskrift,Sydsven Medicinhist Sallsk Arsskr
Diabetes care,Diabetes Care
Disease models \& mechanisms,Dis Model Mech
Zhonghua Minguo wei sheng wu ji mian yi xue za zhi = Chinese journal of microbiology and immunology,Zhonghua Min Guo Wei Sheng Wu Ji Mian Yi Xue Za Zhi
European journal of plastic surgery,Eur J Plast Surg
Bone,Bone
Comparative political studies,Comp Polit Stud
Health marketing quarterly,Health Mark Q
The Mayan,Mayan
"Reviews of physiology, biochemistry and pharmacology",Rev Physiol Biochem Pharmacol
Journal of health law,J Health Law
BMJ quality \& safety,BMJ Qual Saf
"Naselenie (Sofia, Bulgaria : 1983)",Naselenie
Feminist review,Fem Rev
Hepatology international,Hepatol Int
Militargeschichte,Militargeschichte
Prosthetics and orthotics international,Prosthet Orthot Int
"The journal of nutrition, health \& aging",J Nutr Health Aging
The open orthopaedics journal,Open Orthop J
The Journal of burn care \& rehabilitation,J Burn Care Rehabil
Labor law journal,Labor Law J
The Journal of the Siam Society,J Siam Soc
Paediatric respiratory reviews,Paediatr Respir Rev
Geloof en wetenschap,Geloof Wet
Politica internazionale,Polit Int
ANZHES journal. Australian and New Zealand History of Education Society,Anzhes J
The British journal of venereal diseases,Br J Vener Dis
Phonology,Phonology
The Journal of psychotherapy practice and research,J Psychother Pract Res
LLULL : boletin de la Sociedad Espanola de Historia de las Ciencias,Llull
Bio-medical materials and engineering,Biomed Mater Eng
Journal of Buddhist ethics,J Buddh Ethics
American journal of nephrology,Am J Nephrol
Journal of the Royal Australian Historical Society,J R Aust Hist Soc
Hospital progress,Hosp Prog
Clinical journal of the American Society of Nephrology : CJASN,Clin J Am Soc Nephrol
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",APMIS
USA today,USA Today
Vermont registered nurse,Vt Regist Nurse
CPR population research,Cpr Popul Res
Brain injury : [BI],Brain Inj
Dental management,Dent Manage
Journal of the American Oil Chemists' Society,J Am Oil Chem Soc
The Illinois cancer bulletin,Ill Cancer Bull
Annual review of pharmacology and toxicology,Annu Rev Pharmacol Toxicol
Journal of pediatric nursing,J Pediatr Nurs
Nature reviews. Molecular cell biology,Nat Rev Mol Cell Biol
Croatian medical journal,Croat Med J
Journal of the history of dentistry,J Hist Dent
Archives of virology. Supplementum,Arch Virol Suppl
Vestnik Moskovskogo universiteta. Seriia VIII: Istoriia. Moskovskii gosudarstvennyi universitet im. M.V. Lomonosova,Vestn Mosk Univ Ser 8 Istor
BMC pulmonary medicine,BMC Pulm Med
American journal of law \& medicine,Am J Law Med
Quarterly - Northeastern Nevada Historical Society. Northeastern Nevada Historical Society,Northeast Nev Hist Soc Q
"Annales (Paris, France : 1946)",Ann Econ Soc Civilis
Journal of integrative bioinformatics,J Integr Bioinform
"Bulletin of bibliography (Westwood, Mass. : 1979)",Bull Bibliogr
Acta medica Iugoslavica,Acta Med Iugosl
South Asia bulletin,South Asia Bull
Series on nursing administration,Ser Nurs Adm
Journal of medical microbiology,J Med Microbiol
European journal of nuclear medicine,Eur J Nucl Med
Expert opinion on drug metabolism \& toxicology,Expert Opin Drug Metab Toxicol
Biomagnetic research and technology,Biomagn Res Technol
Mass spectrometry reviews,Mass Spectrom Rev
School of Medicine. University of Southern California. School of Medicine,Univ South Calif Bull Sch Med
Journal of nursing management,J Nurs Manag
Lloydia,Lloydia
Standardization news : SN,Stand News
Drug research reports,Drug Res Rep
Critical reviews in medical informatics,Crit Rev Med Inform
Revista espanola de las enfermedades del aparato digestivo,Rev Esp Enferm Apar Dig
Oral biosciences \& medicine : OBM,Oral Biosci Med
Sudan notes and records,Sudan Notes Rec
Counseling and values,Couns Values
Laboratory practice,Lab Pract
The Herbal review,Herbal Rev
Acta morphologica Academiae Scientiarum Hungaricae. Supplementum,Acta Morphol Acad Sci Hung Suppl
Slaski kwartalnik historyczny Sobotka / Wroclawskie Towarzystwo Milosnikow Historii,Slaski Kwat Hist Sabotka
Major problems in pathology,Major Probl Pathol
Science education,Sci Educ
Reading \& writing quarterly : overcoming learning difficulties,Read Writ Q
Studia islamica,Stud Islam
IEEE transactions on information theory / Professional Technical Group on Information Theory,IEEE Trans Inf Theory
Anestezjologia intensywna terapia,Anestezjol Intens Ter
Revue d'assyriologie et d'archeologie orientale,Rev Assyriol Archeol Orient
Acta radiologica: diagnosis,Acta Radiol Diagn (Stockh)
"Ethnohistory (Columbus, Ohio)",Ethnohistory
